,samples,subtypes
0,GSM187161,0
1,GSM187165,0
2,GSM187167,0
3,GSM187172,0
4,GSM187184,0
5,GSM187195,0
6,GSM187203,0
7,GSM187215,0
8,GSM187218,0
9,GSM187228,0
10,GSM187232,0
11,GSM187157,1
12,GSM187159,1
13,GSM187160,1
14,GSM187163,1
15,GSM187166,1
16,GSM187181,1
17,GSM187183,1
18,GSM187190,1
19,GSM187193,1
20,GSM187196,1
21,GSM187199,1
22,GSM187204,1
23,GSM187216,1
24,GSM187217,1
25,GSM187223,1
26,GSM187229,1
27,GSM187236,1
28,GSM187154,2
29,GSM187162,2
30,GSM187164,2
31,GSM187168,2
32,GSM187174,2
33,GSM187186,2
34,GSM187187,2
35,GSM187189,2
36,GSM187191,2
37,GSM187192,2
38,GSM187194,2
39,GSM187197,2
40,GSM187200,2
41,GSM187206,2
42,GSM187212,2
43,GSM187221,2
44,GSM187222,2
45,GSM187224,2
46,GSM187225,2
47,GSM187226,2
48,GSM187230,2
49,GSM187235,2
50,GSM187156,3
51,GSM187170,3
52,GSM187173,3
53,GSM187180,3
54,GSM187153,4
55,GSM187155,4
56,GSM187158,4
57,GSM187169,4
58,GSM187171,4
59,GSM187175,4
60,GSM187176,4
61,GSM187177,4
62,GSM187178,4
63,GSM187179,4
64,GSM187182,4
65,GSM187185,4
66,GSM187188,4
67,GSM187198,4
68,GSM187201,4
69,GSM187202,4
70,GSM187205,4
71,GSM187207,4
72,GSM187208,4
73,GSM187209,4
74,GSM187210,4
75,GSM187211,4
76,GSM187213,4
77,GSM187214,4
78,GSM187219,4
79,GSM187220,4
80,GSM187227,4
81,GSM187231,4
82,GSM187233,4
83,GSM187234,4
